ISO,Latest
GBP,1.6479
EUR,1.3291
AUD,0.9026
JPY,0.0095
CNY,0.1627
CAD,0.906
ZAR,0.0923
NOK,0.1592
DKK,0.1783
SEK,0.1462
CHF,1.0941
BRL,0.4265
